sample	coverage	taxonomy
Novel_genomes_no_reference-R1	0.14	Root; d__Bacteria; p__Firmicutes_D; c__Natranaerobiia; o__Natranaerobiales; f__Natranaerobiaceae
Novel_genomes_no_reference-R1	0.4	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfolunaceae
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfococcaceae
Novel_genomes_no_reference-R1	0.89	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfocapsaceae
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Dissulfuribacteria; o__Dissulfuribacterales; f__QOAL01
Novel_genomes_no_reference-R1	1.27	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
Novel_genomes_no_reference-R1	0.36	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D
Novel_genomes_no_reference-R1	0.28	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
Novel_genomes_no_reference-R1	0.12	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_B; f__DSM-1321
Novel_genomes_no_reference-R1	0.43	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_B; f__DSM-18226
Novel_genomes_no_reference-R1	0.28	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Brevibacillales; f__Brevibacillaceae
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__UBA660
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae
Novel_genomes_no_reference-R1	6.12	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae
Novel_genomes_no_reference-R1	0.68	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Bernardetiaceae
Novel_genomes_no_reference-R1	0.6	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae
Novel_genomes_no_reference-R1	0.79	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae
Novel_genomes_no_reference-R1	7.89	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae
Novel_genomes_no_reference-R1	1.1	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
Novel_genomes_no_reference-R1	0.24	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__F082
Novel_genomes_no_reference-R1	0.07	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
Novel_genomes_no_reference-R1	2.79	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae
Novel_genomes_no_reference-R1	4.2	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae
Novel_genomes_no_reference-R1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae
Novel_genomes_no_reference-R1	1.15	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae
Novel_genomes_no_reference-R1	0.33	Root; d__Bacteria; p__Caldisericota; c__Caldisericia; o__B22-G15; f__B22-G15
Novel_genomes_no_reference-R1	2.57	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Leptolyngbyales; f__Leptolyngbyaceae
Novel_genomes_no_reference-R1	0.64	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae
Novel_genomes_no_reference-R1	6.71	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae
Novel_genomes_no_reference-R1	0.87	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Microcoleaceae
Novel_genomes_no_reference-R1	0.61	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae_A
Novel_genomes_no_reference-R1	1.66	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Coleofasciculaceae
Novel_genomes_no_reference-R1	0.23	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Chroococcidiopsidaceae
Novel_genomes_no_reference-R1	0.31	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Spirulinaceae
Novel_genomes_no_reference-R1	3.69	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Elainellales; f__Elainellaceae
Novel_genomes_no_reference-R1	0.17	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Gloeomargaritales; f__Gloeomargaritaceae
Novel_genomes_no_reference-R1	0.68	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Thermosynechococcales; f__Thermosynechococcaceae
Novel_genomes_no_reference-R1	0.23	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae
Novel_genomes_no_reference-R1	0.56	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales; f__Sumerlaeaceae
Novel_genomes_no_reference-R1	0.12	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae
Novel_genomes_no_reference-R1	1.06	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__FEB-10
Novel_genomes_no_reference-R1	1.44	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Tissierellales; f__Tepidimicrobiaceae
Novel_genomes_no_reference-R1	1.8	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
