name	mean	rank
Xenobia	3828075.625	class
XYA12-FULL-58-9	5038159	class
Z-2901	2429420	class
Zetaproteobacteria	2366624.466666667	class
Zymogenia	3477622.3333333335	class
0-14-0-80-59-12	2311575.5	order
02-12-FULL-59-9	2291391	order
1-14-0-20-42-13	1825353	order
1-14-0-20-64-10	1747405	order
16-39-46	1671062.4	order
2-01-FULL-39-13	872093	order
2-01-FULL-45-10	1485487.6666666667	order
2-01-FULL-59-12	2211476	order
2-01-FULL-66-17	2798008	order
2-02-FULL-35-15	2038399.5	order
2-02-FULL-39-32	2221054	order
2-02-FULL-40-11	1925944	order
2-02-FULL-40-12	876715	order
2-02-FULL-44-16	1914821.2222222222	order
2-02-FULL-50-16	2030451.2857142857	order
2-02-FULL-51-18	1449254	order
2-12-FULL-37-12	3746692	order
2-12-FULL-45-22	3667056	order
2-12-FULL-49-11	1542148.6666666667	order
2-12-FULL-54-10	3429613	order
2-12-FULL-62-27	4164089.5	order
20CM-2-55-15	5359946.2	order
21-64-14	2783433.75	order
32-111	1841692.888888889	order
40CM-2-53-6	1819840.1379310344	order
43-37	1559746	order
4484-113	3705459	order
4484-171	1763869.9333333333	order
4484-211	989002.5	order
4484-213	869646	order
4572-55	4085200	order
4572-78	6898885.777777778	order
54-19	6943874.166666667	order
9FT-COMBO-42-15	1712308	order
AABM5-125-24	3706552.4285714286	order
AABM5-25-91	5246343.571428572	order
AB16	2107387.1666666665	order
Abditibacteriales	5819671.333333333	order
Absconditabacterales	1216822.5	order
AC-67	2404400.3333333335	order
AC1	2558940.15	order
Acanthopleuribacterales	8710524.666666666	order
Acetivibrionales	3492169.026785714	order
Acetobacterales	3830892.770666667	order
Acholeplasmatales	1381852.6285714286	order
Acidaminococcales	2175194.124497992	order
Acidiferrobacterales	2753806.64	order
Acidimicrobiales	2575270.0128712873	order
Acidithiobacillales	3119850.947368421	order
Acidobacteriales	4832680.966966967	order
Acidoferrales	4937741.274193549	order
Acidothermales	2443449	order
Aciduliprofundales	1395581.9375	order
Acidulodesulfobacterales	1842807.857142857	order
Actinomycetales	2982603.4375328543	order
Adiutricales	3671661.6666666665	order
Aenigmatarchaeales	715324.75	order
Aerophobales	1750196.7142857143	order
Aggregatilineales	4706356.465909091	order
AKS1	3111340	order
AKYH767	3789342.5118110236	order
AKYH767-A	3905829.6463414636	order
Alicyclobacillales	3426191.463414634	order
Altiarchaeales	1517242.7857142857	order
Aminicenantales	2870626.327586207	order
Ammonifexales	2095993.9523809524	order
Anaeroferrophillales	2706393.8333333335	order
Anaerolineales	3700723.4327956988	order
Anaeromusales	3343606	order
Aneurinibacillales	5171897.652173913	order
ANME-1	2015316.75	order
Anstonellales	1162891.7173913044	order
Aquicultorales	2163484	order
Aquificales	1510036.3157894737	order
Archaeoglobales	1819658.6923076923	order
Ardenticatenales	3457708.875	order
Arenicellales	2697766.270491803	order
ARK-15	1333494.6	order
Armatimonadales	4468327.933333334	order
ATCC43930	4955291.75	order
ATN3	2867214	order
Atribacterales	2205160.8421052634	order
Azospirillales	6690559.0234375	order
B11-G9	3012110.3333333335	order
B13-G15	1987755.6	order
B130-G9	2729668.5	order
B15-G4	4989748.857142857	order
B1SED10-174	2400194.6	order
B1Sed10-29	1026772.3333333334	order
B22-G15	1403997	order
B24	1571722.076923077	order
B25	1321757.7142857143	order
B26-1	1687980.8942307692	order
B26-G2	1650570	order
B26-G9	2272990	order
B29-G17	1268643.8	order
B3-B38	2254273	order
B3-G13	1815170.5	order
B3-LCP	3804242.6666666665	order
B3-TA06	2602520.6	order
B4-G1	4104502.5714285714	order
B48-G9	1695705.8333333333	order
B62-G9	3666373	order
B64-G9	6393467.5	order
B68-G9	2103559.75	order
B70-G9	1987671	order
B87-G9	1347275	order
B88-G9	1295439	order
Babeliales	1163052.7142857143	order
Bac17	755754	order
Bacillales	5038313.266831595	order
Bacillales_A	3978802.4400977995	order
Bacillales_B	4640242.484896662	order
Bacillales_C	4172373.875	order
Bacillales_D	3858525.775910364	order
Bacillales_E	2909064.6666666665	order
Bacillales_F	2590903.6666666665	order
Bacillales_G	3864073.7808219176	order
Bacillales_H	4183756.4638554216	order
Bacteriovoracales	3735784	order
Bacteroidales	3400108.895381624	order
Baldrarchaeales	2466024.3333333335	order
Balneolales	3372196.158940397	order
Baltobacterales	3201951.9864864866	order
BD1-5	1211097.0714285714	order
Bdellovibrionales	3386537.897727273	order
Beggiatoales	4928034.269230769	order
Berkiellales	2982235.5555555555	order
Bin125	2841148.0625	order
Bin18	4903459.571428572	order
Bin61	3654995.6	order
Bin65	4175276.9166666665	order
Bin95	2565445	order
Bin98	1583477	order
Binatales	3950879.846153846	order
Bipolaricaulales	1641678.6451612904	order
BM002	3359332.5	order
BM003	3621883	order
BM507	1048946.6666666667	order
BMS3ABIN01	2081067.3333333333	order
BMS3Abin14	2150245.75	order
BMS3BBIN04	3244057.5	order
Bog-38	1692187.0909090908	order
BOG-932	4721615	order
Borrarchaeales	4058118.25	order
Borreliales	1287119.1	order
Brachyspirales	2933528.9243697478	order
Bradymonadales	6065237.545454546	order
Brevibacillales	5622165.873015873	order
Brevinematales	2638733.2	order
Brocadiales	3555751.9743589745	order
Bryobacterales	6479488.855263158	order
BSN033	3681042	order
Bu12	2173759	order
Bu52	2618019	order
Burarchaeales	1196731	order
Burkholderiales	4687874.786235456	order
C00003060	2924234	order
CABMEP01	965193	order
CACEW01	1777472.5	order
CACIAM-22H2	4498197.846153846	order
CACIAM-69d	4489077.555555556	order
CADAEX01	1648702.238095238	order
CADAWZ01	2609212.8	order
CADDZG01	2860192.727272727	order
CADDZV01	1849964	order
CADEGL01	3706160.5	order
Caedimonadales	1827253.3333333333	order
Caenarcaniphilales	2219572.222222222	order
CAIJMQ01	1409801.1666666667	order
CAIKKV01	4017700.846153846	order
CAILMK01	3792257.4210526315	order
CAIMUX01	4546249.636363637	order
CAINFC01	7995899.4	order
CAIPTA01	2840146.6666666665	order
CAIQBE01	1768446	order
CAIRSR01	3099566.5	order
CAIRYL01	1525516.5	order
CAISDR01	3312758	order
CAISOG01	1481962.5	order
CAISUE01	1613843.3333333333	order
CAIUCS01	2842534	order
CAIUEV01	1051199.5714285714	order
CAIUPP01	4772707	order
CAIVPW01	2241368.3333333335	order
CAIWAD01	2953812.285714286	order
CAIWXX01	5675416.4	order
CAIXZC01	6875599.166666667	order
CAIYCZ01	3190086	order
CAIYQO01	6056431	order
CAIYYT01	3669284.888888889	order
CAJFEE01	2607965	order
CAJQNE01	3499670	order
Caldalkalibacillales	3597002.75	order
